comarca,serventia,n_observacoes,n_treino,n_teste,mae_cv,mae_teste,rmse_teste,melhores_params,top_features
PLANALTINA,"2ª Vara (Cível, das Fazendas Públicas, de Registros Públicos e Ambiental)",1068,1065,3,0.6039938404492738,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}","[('diff_12', 0.39756688), ('diff_1', 0.36793587), ('lag_1', 0.0599967), ('lag_12', 0.05069585), ('media_movel_6', 0.031199774)]"
TRIBUNAL DE JUSTIÇA,GABINETE DES. ELISEU JOSÉ TAVEIRA VIEIRA,146,143,3,9.355046875062197,20.525421142578125,23.37441338582558,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}","[('diff_12', 0.3381055), ('tendencia', 0.1938514), ('media_movel_12', 0.1287366), ('diff_1', 0.11215877), ('media_movel_3', 0.0680182)]"
ITAPURANGA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",1068,1065,3,0.8590386790474931,0.009796142578125,0.009796142578125,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.9, 'colsample_bytree': 1.0}","[('diff_1', 0.35653046), ('diff_12', 0.25525102), ('lag_1', 0.14958654), ('lag_12', 0.1200875), ('media_movel_12', 0.060175404)]"
TRIBUNAL DE JUSTIÇA,GABINETE DES. ALGOMIRO CARVALHO NETO,148,145,3,6.138435165330768,43.810848236083984,44.97081900872554,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}","[('diff_12', 0.46727714), ('media_movel_12', 0.09614546), ('diff_1', 0.08807534), ('tendencia_sqrt', 0.07699134), ('tendencia', 0.06293186)]"
JANDAIA,Vara Judicial,1068,1065,3,1.1319191297972941,0.01506805419921875,0.01506805419921875,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.9, 'colsample_bytree': 1.0}","[('diff_1', 0.31351876), ('diff_12', 0.23982912), ('lag_1', 0.14615847), ('lag_12', 0.10761314), ('media_movel_12', 0.0972493)]"
GOIANÉSIA,1ª Vara Criminal (crimes em geral e execuções penais),668,665,3,1.4802636088978163,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.9}","[('diff_1', 0.33043984), ('diff_12', 0.23228292), ('tendencia', 0.12089506), ('lag_1', 0.10443213), ('lag_12', 0.071509495)]"
TRIBUNAL DE JUSTIÇA,GABINETE DES. ROBERTO HORACIO REZENDE,89,86,3,7.181456022339208,44.92219161987305,44.93501250266412,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.9}","[('lag_5', 0.37564003), ('media_movel_12', 0.18146688), ('tendencia', 0.13809043), ('tendencia_quad', 0.08374849), ('diff_12', 0.07734823)]"
TRIBUNAL DE JUSTIÇA,GABINETE DES. SILVÂNIO DIVINO DE ALVARENGA,88,85,3,10.563324761799404,24.21416727701823,24.661194066086484,"{'n_estimators': 200, 'max_depth': 7, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 1.0}","[('tendencia', 0.6127171), ('media_movel_6', 0.11657399), ('std_movel_12', 0.07965343), ('diff_12', 0.056383736), ('media_movel_3', 0.035018463)]"
ORIZONA,Vara Judicial,996,993,3,0.804808209783381,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.9, 'colsample_bytree': 0.8}","[('diff_12', 0.33076936), ('diff_1', 0.22508618), ('media_movel_12', 0.09965659), ('lag_12', 0.09024541), ('lag_1', 0.084842734)]"
GOIANDIRA,Vara Judicial,914,911,3,1.2037773180828977,0.01978302001953125,0.01978302001953125,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}","[('diff_1', 0.1745557), ('media_movel_12', 0.15558831), ('tendencia', 0.14628105), ('media_movel_6', 0.10939268), ('diff_12', 0.10539726)]"
